2011-1-1,-6,753,ЮВ 3м/с,-6,753,ЮВ 3м/с
2011-04-25,+15,748,СЗ 3м/с,+10,749,СЗ 3м/с
2011-04-26,+11,756,З 2м/с,+8,758,З 2м/с
2011-04-27,+15,760,ЮЗ 1м/с,+9,758,ЮЗ 1м/с
2011-04-28,+17,752,З 2м/с,+12,751,З 2м/с
2011-04-29,+21,748,З 3м/с,+17,749,З 3м/с
2011-04-30,+21,749,З 2м/с,+19,749,З 2м/с
2011-05-01,+14,748,ЮВ 2м/с,+12,747,ЮВ 2м/с
2012-04-23,+25,747,ЮВ 1м/с,+21,746,ЮВ 1м/с
2012-04-24,+22,747,З 3м/с,+16,749,З 3м/с
2012-04-25,+23,752,СЗ 1м/с,+15,752,СЗ 1м/с
2012-04-26,+25,751,С 2м/с,+19,752,С 2м/с
2012-04-27,+25,749,З 1м/с,+19,749,З 1м/с
2012-04-28,+24,750,СЗ 2м/с,+19,749,СЗ 2м/с
2012-04-29,+22,748,З 3м/с,+21,744,З 3м/с
2013-04-22,+17,743,С 2м/с,+12,744,С 2м/с
2013-04-23,+17,744,С 3м/с,+10,745,С 3м/с
2013-04-24,+15,744,С 2м/с,+12,743,С 2м/с
2013-04-25,+12,742,Ю 2м/с,+9,742,Ю 2м/с
2013-04-26,+8,737,С 2м/с,+8,739,С 2м/с
2013-04-27,+13,743,З 4м/с,+12,741,З 4м/с
2013-04-28,+15,742,СЗ 2м/с,+13,743,СЗ 2м/с
2014-04-21,+19,755,С 2м/с,+11,758,С 2м/с
2014-04-22,+15,759,Ю 2м/с,+11,758,Ю 2м/с
2014-04-23,+20,748,З 3м/с,+16,744,З 3м/с
2014-04-24,+5,744,СЗ 3м/с,+1,746,СЗ 3м/с
2014-04-25,+6,743,З 4м/с,+3,743,З 4м/с
2014-04-26,+6,748,СЗ 3м/с,+2,751,СЗ 3м/с
2014-04-27,+12,753,З 3м/с,+10,753,З 3м/с
